n   error 
198   2.50654383675173942877313803156966871E-0003
199   2.50648378599129116251789517651263688E-0003
200   2.48033672441176665449066597513316833E-0003
201   2.48011411344632506370544433593750901E-0003
202   2.46990282744438851051692198309599367E-0003
203   2.44900286804332141606974351664359168E-0003
204   2.44202717794090268589286283032833941E-0003
205   2.43616239115830707073394998317952523E-0003
206   2.40864795748452428265173898999851191E-0003
207   2.41270167910676417583142321120337624E-0003
208   2.39591797161375703704591120034163589E-0003
209   2.38250380091936762869005372538371515E-0003
210   2.37051784711932159518669388489133900E-0003
211   2.36219928597782204210623051303858789E-0003
212   2.34555421807389838663234304983886489E-0003
213   2.33402332095724380326126766781994383E-0003
214   2.32210555342428295725162177092286246E-0003
215   2.31576213874759054754548577181962627E-0003
216   2.30780966615172384106319875185909509E-0003
217   2.30445483223878777239711850431884659E-0003
218   2.27534522253261057234718753567048481E-0003
219   2.28003053109525038872731573783774052E-0003
220   2.26136464454133137111401742349906408E-0003
221   2.25236329015282806286141892110018623E-0003
222   2.24038102327094712466997951980021895E-0003
223   2.22902010906922789171873850729949183E-0003
224   2.21494377395327109579428313961669436E-0003
225   2.21131184543435442812588750099646796E-0003
226   2.20323897532106917581440489969135760E-0003
227   2.18925923431432651403562904421840737E-0003
228   2.18049517962411784883283828948258549E-0003
229   2.16853804083723917708979565827947384E-0003
230   2.16562080930802876715488149777848011E-0003
231   2.15848676733574028952585952268432285E-0003
232   2.15061619932513714542618751508006716E-0003
233   2.13155342491872954170145404466408166E-0003
234   2.12525741029857049897151450167160298E-0003
235   2.11398809856303627839855824161968335E-0003
236   2.11221340074865404649685280740723893E-0003
237   2.09880315591531670049016964021203721E-0003
238   2.09235098079582054348583140277557685E-0003
239   2.08732439099823710490953332160074386E-0003
240   2.06935193898155209196771915648360381E-0003
241   2.06269518718019955688052707248263322E-0003
242   2.04987873711418373620337078417425603E-0003
243   2.04771401265978438632262387356138048E-0003
244   2.04557146051605459729202571037405517E-0003
245   2.03078926721869601706156516645393285E-0003
246   2.02053543298145673117107373880673382E-0003
247   2.01420538913897130389909796582726455E-0003
248   2.01007386386466797339699144029983100E-0003
249   2.00633046679532118568063154428978977E-0003
250   2.00218040750207667354537533920822711E-0003
251   1.98844139353930950164794921874997143E-0003
252   1.98529754994448244631289489700564136E-0003
